REGIONID,DATATYPE,DATAVALUE,CALENDAR_DATE,PRETTYDATE
VIC1,Scheduled Reserve,561,2022/06/17 00:00:00,17-Jun-22
VIC1,Trading Interval,18:30,2022/06/17 00:00:00,17-Jun-22
VIC1,Net Interchange,-1324,2022/06/18 00:00:00,18-Jun-22
VIC1,Scheduled Capacity,7513,2022/06/18 00:00:00,18-Jun-22
VIC1,Scheduled Demand,6469,2022/06/18 00:00:00,18-Jun-22
VIC1,Scheduled Reserve,2369,2022/06/18 00:00:00,18-Jun-22
VIC1,Trading Interval,18:30,2022/06/18 00:00:00,18-Jun-22
VIC1,Net Interchange,-1233,2022/06/19 00:00:00,19-Jun-22
VIC1,Scheduled Capacity,8626,2022/06/19 00:00:00,19-Jun-22
VIC1,Scheduled Demand,6531,2022/06/19 00:00:00,19-Jun-22
VIC1,Scheduled Reserve,3328,2022/06/19 00:00:00,19-Jun-22
VIC1,Trading Interval,18:30,2022/06/19 00:00:00,19-Jun-22
VIC1,Net Interchange,-1503,2022/06/20 00:00:00,20-Jun-22
VIC1,Scheduled Capacity,9723,2022/06/20 00:00:00,20-Jun-22
VIC1,Scheduled Demand,6852,2022/06/20 00:00:00,20-Jun-22
VIC1,Scheduled Reserve,4374,2022/06/20 00:00:00,20-Jun-22
VIC1,Trading Interval,18:30,2022/06/20 00:00:00,20-Jun-22
VIC1,Net Interchange,-1589,2022/06/21 00:00:00,21-Jun-22
VIC1,Scheduled Capacity,9406,2022/06/21 00:00:00,21-Jun-22
VIC1,Scheduled Demand,7107,2022/06/21 00:00:00,21-Jun-22
VIC1,Scheduled Reserve,3889,2022/06/21 00:00:00,21-Jun-22
VIC1,Trading Interval,18:30,2022/06/21 00:00:00,21-Jun-22
VIC1,Net Interchange,-2512,2022/06/22 00:00:00,22-Jun-22
VIC1,Scheduled Capacity,8893,2022/06/22 00:00:00,22-Jun-22
VIC1,Scheduled Demand,7025,2022/06/22 00:00:00,22-Jun-22
VIC1,Scheduled Reserve,4381,2022/06/22 00:00:00,22-Jun-22
VIC1,Trading Interval,18:30,2022/06/22 00:00:00,22-Jun-22
VIC1,Net Interchange,-2332,2022/06/23 00:00:00,23-Jun-22
VIC1,Scheduled Capacity,8242,2022/06/23 00:00:00,23-Jun-22
VIC1,Scheduled Demand,5120,2022/06/23 00:00:00,23-Jun-22
VIC1,Scheduled Reserve,5453,2022/06/23 00:00:00,23-Jun-22
VIC1,Trading Interval,00:30,2022/06/23 00:00:00,23-Jun-22
